feature,d,p_raw,ci_excl0,p_FDR,gate
med_d_vgrad_mag,1.5494106761607436,3.7462958365115714e-11,True,8.649535975475246e-10,True
med_k_init_rotspeed,-1.52498605580199,1.1571159513307595e-14,True,1.297622888278066e-12,True
med_d_init_rotspeed,-1.5177258526989237,4.842039984479736e-16,True,7.304198659569272e-14,True
med_k_w20_40_path,-1.4932698335333963,4.348822311597182e-21,True,3.413825514603788e-18,True
med_d_traj_x29,1.450496634957083,1.5079777327214016e-14,True,1.5193508083974841e-12,True
med_d_traj_x30,1.4297696041040298,1.6497461492035282e-12,True,6.166908224403665e-11,True
med_d_traj_x28,1.4139244123615435,4.8650028677626645e-15,True,5.875426540297987e-13,True
ext_k_w20_40_path,-1.4078517164976632,3.8869158267958426e-21,True,3.413825514603788e-18,True
med_k_qarea_mag,1.355057114460066,1.977202341293413e-12,True,7.219087618210834e-11,True
med_d_traj_x31,1.3544458664992176,1.273608028872243e-10,True,2.4384934211334408e-09,True
med_d_w20_40_path,-1.3509648006484634,1.2917154220816919e-20,True,6.759977375560854e-18,True
med_d_qarea_mag,1.347236644486174,3.179793613090949e-14,True,2.627513669764626e-12,True
med_d_traj_x27,1.3262589128008713,1.7091076824223708e-14,True,1.5784112125900718e-12,True
pair_corr_II_AVR,1.3243197565308347,0.00025942438516334096,True,0.0007565818500057452,True
med_k_vgrad_mag,1.3123228074218642,2.759087274344202e-09,True,3.0941193005145696e-08,True
ext_d_init_rotspeed,-1.2857424694503867,1.5483829894496653e-14,True,1.5193508083974841e-12,True
pair_lag_V1_V6,1.2767250055920762,1.4511302593788615e-07,True,9.612972604324103e-07,True
ext_d_w20_40_path,-1.2683050812991346,3.8892509623400463e-19,True,1.0176873351456454e-16,True
med_d_traj_x32,1.248128000203277,2.887883407055813e-09,True,3.195002527678381e-08,True
med_d_traj_z23,-1.2222748234013547,3.3611374337418556e-13,True,1.7062420420022823e-11,True
med_d_traj_z22,-1.2163496309533117,2.9853852050558817e-13,True,1.616225783426805e-11,True
